sgRNA	Gene	M07e-J4-1	M07e-J4-2	M07e-J4-3	M07e-J11-1	M07e-J11-2	M07e-J11-3	M07e-J18-1	M07e-J18-2	M07e-J18-3	M07e-J25-1	M07e-J25-2	M07e-J25-3
TNP1.102	TNP1	699.9242694845443	586.830075549567	946.3659972410478	1035.508599036187	591.2903443070403	885.941217274409	895.9110794755976	617.9881082827993	709.3970858488444	692.5792307650408	810.2762616349563	992.2032336601104
FLYWCH1.655	FLYWCH1	1466.5453583706426	1196.900946170404	1149.4723887602981	1145.2629666759672	1395.6018457684052	1364.4788090868635	1511.6381139197347	1646.664516373788	1554.3561380101767	1370.4468112033735	1117.3971027385285	1109.5606053833492
JAK2.3504	JAK2	4243.487050865937	4524.484783339024	4912.978929992679	1523.0406813781092	1973.5783677533002	2091.985283126068	1353.4697014019746	1431.5420736171175	959.4628489495502	872.5140309147819	858.4680957442934	700.9435747469812
CSRP2BP.2457	CSRP2BP	2115.466177724587	2035.2296255269282	2323.0979700255884	2335.8592591161914	2254.7349685562504	2311.85390639125	1990.662448973522	1470.6552450274212	1929.4547826612354	1628.4665246256436	1532.3369625273972	1720.8858235416753
BAHCC1.1892	BAHCC1	1489.3007438135257	1294.0142684324965	1026.5106814621574	1024.3740979712818	1007.1515003693428	942.525054144125	1042.781748242089	1219.0271756211337	1574.0981719391798	949.4672787775643	763.7180490208509	807.6320944953802
APOBEC3G.551	APOBEC3G	664.614188624898	654.892403972572	791.5659907317812	571.8361618333475	492.6114259193753	604.63871397925	686.902820077129	448.4976988381497	690.9711875151082	675.6042496188389	536.6446611836353	630.5291517130379
RUVBL2.531	RUVBL2	1289.2102856088634	830.0283954024993	997.9659994108033	526.5028360690904	444.05513274449254	861.6910014731022	431.57381129845936	593.2164330562736	630.428950132832	192.3831196569558	167.44620326125607	300.8616256904851
SETDB2.4731	SETDB2	2332.819342127298	2447.7537380419703	2384.5788236746585	2914.0579929866276	3030.852493335425	2172.819335797091	2849.2909740699333	3058.6500042857533	2662.5423092248834	2983.0700200925617	3370.1611446631346	2397.291038746525
EXOSC3.926	EXOSC3	1089.1198274042013	1126.3485325611916	1201.0723909300536	592.5145209538858	801.9620034045156	863.3076825265227	698.2005638283977	567.1409854494044	356.6727463173225	368.9229235774564	492.53688081237766	205.90884311441002
PCGF2.1804	PCGF2	1956.9631480879523	1924.8358489383959	2009.106467460693	2669.0989695587123	2815.4818381242517	2376.5211485280684	3147.5514091034233	3491.5024345597817	3206.106310070102	3382.5479097331818	3841.4609460374995	3576.1991819663335
EID2.977	EID2	2325.757325955369	2653.6007801017904	2491.072445173941	2743.0638694898685	2586.797360590933	2368.437743260966	3025.535776589723	2916.5388148283164	2745.4588517266966	2898.195114361552	2676.6888199372497	3289.20706384314
NCOA6.3481	NCOA6	1143.2619513889922	929.6318028507992	808.0340765306394	911.4384443129572	1166.917368235086	1207.6607469050796	880.0942382238215	894.3878529156125	1270.0708494325322	1150.9037217124944	1203.1622312381962	1133.0320797279971
HR.2701	HR	954.9415201375452	775.2465213059344	1242.7915416204942	887.5787991738746	885.7607674321359	960.30854573175	1311.6680495222809	1091.2574823474747	977.8887472832864	1087.5304587666737	983.4401401295236	915.3874994412631
MCL1.3282	MCL1	1690.9605389452836	1606.9349734992386	2039.8468942852282	1716.3038070046787	1697.120763064048	1650.6313555422842	1900.2804989633735	2275.082803699335	1797.8412231345483	1927.2261927987984	2367.11754659083	2007.8779416648686
TAF2.3656	TAF2	1909.8830402750905	1998.7083761292183	2555.8469159827832	814.4092207473544	1078.4196080937675	1522.9135523220682	688.0325944522559	779.6558834453881	843.6429165660654	544.3310620882103	371.64889016522693	603.8570217759382
JMJD7.1379	JMJD7	964.3575417001176	1028.4051819036965	872.8085473394814	1016.4208829249209	960.9447052513092	881.0911741141477	963.697541983209	670.1390034965376	1029.2180354986945	1251.6219431799595	1198.2613667525009	1058.3501159041177
BRWD3.10345	BRWD3	1282.1482694369342	1342.9859437612438	1371.2426108515879	1347.2746288535336	1293.7902633049412	1157.5436342490455	1368.1567682786238	1207.2932241980425	1837.3252909925543	1570.7515887285567	1289.7441704854798	1535.2477991794613
PHF21A.302	PHF21A	714.0483018284028	657.3824891587794	445.7361889557603	704.6548531075742	543.5172171511073	680.6227234900114	571.6658338141897	680.5691825392853	597.5255602511602	495.6694494690979	579.9356308072772	368.07539313197645
MORF4L1.1261	MORF4L1	2621.5773367128504	3115.9265963409825	3102.5873645048737	2976.8883918528786	3174.1718748032245	3063.6105962317615	2339.762730887721	3052.131142384036	2883.6530892297183	2880.088467805603	3213.333481120885	2834.7139697149605
BRWD3.1510	BRWD3	584.578005343033	525.407974289782	606.0255573979796	827.9296863261679	563.0963676248504	672.5393182229091	541.1619256857645	831.8067786591265	863.3849504950686	888.3573466512371	656.7158410831702	870.5783211469355
LBR.529	LBR	786.2378004747908	805.9575719358268	1075.9149388587318	831.1109723447123	1035.3454770515327	934.4416488770228	965.9570907334627	830.503006278783	1088.4441372857038	884.9623504219967	1257.0717405808446	978.3337260928186
ACTR8.657	ACTR8	1284.5022748275774	1296.5043536187038	1294.3915437902497	1024.3740979712818	1393.252347711556	966.7752699454318	935.4531826050376	1393.7326745871571	1414.8457649118882	901.9373315681987	1017.7461915293907	1035.945526756954
BRCA1.1824	BRCA1	1862.802932462229	1679.1474438992561	1759.88943570464	798.5027906546327	873.2301111289403	813.1905698704886	233.8632956512594	282.91860653453045	588.3126110842921	323.65630718758445	160.91171728032901	431.02161978353183
HLCS.4300	HLCS	2131.1595469955405	2088.351442832688	2373.6000998087534	2817.0287694210247	2135.6937336758924	2218.0864052928637	2847.0314253196793	1953.0510257545006	2088.7071896885273	2916.301760917501	2283.8028503340097	2308.7395673553538
ELP5.1041	ELP5	530.4358813582421	700.5439657197094	619.2000260370661	575.812769356528	461.2847851613864	520.5712992013864	328.76434316191535	483.69955310742307	680.4421027529733	277.25802538796574	273.63160045132094	230.44720265654178
NCOA6.3521	NCOA6	2741.6316116356475	2720.833080129393	2497.6596794934844	3009.4965735429582	2848.3748109201397	2851.825378233682	3627.705518532338	3873.507742000415	2995.5246148274023	4421.416755880743	4442.633656282789	4150.1834182127195
PIWIL4.1270	PIWIL4	1415.5419082400424	1338.8358017842313	1103.3617485234954	1361.5904159369832	1342.346556479824	966.7752699454318	850.7201044705233	1413.2892602923089	1762.3055620623427	927.965635992375	1327.3174648758104	903.6517622689393
TADA2B.1338	TADA2B	1625.8330564708249	1320.5751770853763	1506.2809144022244	628.3039886625097	872.4469451099906	1005.5756152275227	601.0399675674879	367.6638112568553	573.8351195363565	370.0545889872032	299.76954437502917	236.8485138414457
SETD1B.8076	SETD1B	1289.2102856088634	1178.640321471549	1635.8298560199084	1918.315469182245	1622.7199912638246	1450.1629049181477	1621.2262283070397	1790.0794782115684	1409.5812225308207	2176.1925829430943	2065.714380720569	1999.3428600849966
NAP1L4.1261	NAP1L4	1160.5246575870415	1215.1615708692589	1228.5192005948172	1331.3681987608118	1567.1152039183942	1464.7130343989318	1138.8125701278718	1350.708186035823	1320.0840020526734	1010.5772109038913	1404.0976751517035	1396.5527235065424
EPC2.2246	EPC2	1660.3584688669234	1697.408068598111	1486.5192114435947	1236.7249397091173	1288.3081011722932	1513.2134660015454	1226.9349713877666	1513.6797335787553	1122.6636627626424	1086.398793356927	762.0844275256192	1103.1592941984454
RCOR3.477	RCOR3	900.0147276892066	1128.0085893519965	828.8936518758597	1201.7307935051294	1384.637521503109	1170.477082676409	1274.3854951430947	1196.863045155295	1468.80732431783	1592.253231513746	1381.2269742184587	1388.0176419266706
RAD54B.950	RAD54B	2704.752193848906	3175.688640809962	3216.7660927102897	4266.104550867978	3340.986236839515	4001.285607215625	4420.807129871391	4689.66925209542	4068.1751249699037	4947.6411714130045	4771.80838757199	4190.725055717112
EP400.11932	EP400	830.1792344334617	561.929223687492	608.2213021711606	640.233811232051	402.5473337401572	582.0051792313636	811.1780013410832	460.2316502612408	642.2741704902339	1036.6055153280677	726.9615653781361	521.706861569671
OGT.4478	OGT	1067.9337788884134	1333.025603016414	1070.425576925779	1238.3155827183896	1163.7847041592872	1246.4610921871704	1239.362489514162	829.1992338984396	1264.8063070514647	1445.1367282466622	1328.1342756234262	1123.4301129506412
ZNF516.8586	ZNF516	811.3471913083171	627.5014669242895	865.1234406333476	812.0232562334462	770.6353626465267	455.9040570645682	654.1393631984502	955.6651547917551	551.4608144168196	565.8327048733994	474.56704436482823	407.55014543888404
L3MBTL4.2947	L3MBTL4	852.9346198763449	849.1190484967568	996.8681270242128	1148.4442526945115	1168.4837002729855	1338.6119122321363	1482.2639801664363	1170.7875975484258	1759.6732908718088	1657.8898252790602	1308.5308176806452	1953.466796593185
GADD45B.1251	GADD45B	3038.2362908566765	3088.5356592926996	2970.8426781140083	3555.8824472279507	2974.4645399710453	3428.9805143047843	3500.041014143003	3574.943866901763	3161.357699831028	3923.4839755921516	4655.004450662919	3237.9965743639086
TAF3.1757	TAF3	684.2309002135904	821.7281114484742	962.8340830399059	297.450242733897	262.36061634815695	394.4701770345909	192.06164377156568	419.8147064705936	336.9307123883194	208.22643539341098	133.14015186138897	270.98884016093336
FBXO17.1734	FBXO17	491.987126644405	506.3173211955246	556.6213000014051	505.02915544391607	265.49328042395587	674.1559992763296	718.536502580681	607.5579292400516	571.2028483458228	400.6095550503668	484.36877333621885	536.6432543344469
SAP130.2897	SAP130	838.8105875324864	515.447633544952	399.62554871895753	384.93560824386674	299.1694192387939	350.81978859223864	306.1688556593782	207.2998084746099	239.53667833857085	54.31993966784634	88.21556074251541	233.64785824899374
BAHD1.3311	BAHD1	1545.0122047254122	1258.3230474301888	1450.289422686107	1048.2337431103645	999.3198401798456	1257.7778595611137	481.28388380404107	1212.5083137194163	1145.0379678821794	749.1625012523808	867.4530139680681	928.190121811071
